col1_1a,col1_1,RA_d,DEC_d,FWHM_d,R_SAT_d,IND_d,MAG_d,MAG_d_unc,AP_d,AP_d_unc,PSF_d,PSF_d_unc,SKY_d,VISION,col1_2,ra_1,dec_1,wfc3m,wfc3u,nic1.6m,nic1.6u,nic2.05m,nic2.05u,irtfm,irtfu,hops,separation_2,closesthops,4thnearest,Separation_1,col1_3,ra_s,dec_s,b36_s,unc36_s,b45_s,unc45_s,b58_s,unc58_s,b8_s,unc8_s,J,uncJ,H,uncH,Ks,uncKs,class,col1_2a,Unnamed: 0.4,ra_v,dec_v,J_v,Je_v,H_v,He_v,Ks_v,Kse_v,Separation
21,21.0,83.70159278151242,-5.666525405971735,2.247748136520386,0.0,46.0,20.577791401916507,0.0275538209825754,20.577791401916507,0.0275538209825754,,,0.1658918857574463,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22.0,83.70337345065346,-5.674554371121766,2.61186146736145,0.0,48.0,20.936117360168453,0.0339898094534874,20.936117360168453,0.0339898094534874,,,0.2564035654067993,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,115,83.703378,-5.674523,,,,,19.134,0.203,0.11410588811854981
23,23.0,83.70353453078476,-5.796109982021481,2.718811988830566,0.0,49.0,20.16179103570556,0.0329385697841644,20.16179103570556,0.0329385697841644,,,0.3333221077919006,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,116,83.703508,-5.796101,,,19.631,0.116,18.639,0.125,0.10037356222294037
24,24.0,83.70939133974427,-5.618585755896591,2.546448230743408,0.0,54.0,20.655803868347164,0.0580674484372139,20.655803868347164,0.0580674484372139,,,0.3584184050559998,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,130,83.709351,-5.618566,,,,,19.291,0.186,0.16107705028507271
25,25.0,83.71072459299079,-5.796022423778022,2.456006050109863,0.0,55.0,21.09344310479737,0.075942613184452,21.09344310479737,0.075942613184452,,,0.2547536492347717,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137,137,83.710703,-5.796051,,,,,19.438,0.198,0.12870201914384924
26,26.0,83.71198932442795,-5.781994474265986,2.697936058044434,0.0,58.0,19.28769511895752,0.0141684776172041,19.28769511895752,0.0141684776172041,,,0.3038198947906494,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,145,83.712011,-5.782034,,,18.398,0.045,,,0.1620937968267735
27,27.0,83.71307212134535,-5.673362543168944,2.366055011749268,0.0,59.0,18.925581166320804,0.0082225538790225,18.925581166320804,0.0082225538790225,,,0.2297183573246002,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,150,83.71303,-5.673387,20.733,0.201,19.129,0.091,17.974,0.092,0.174702231937232
28,28.0,83.71321175903248,-5.551916885817848,2.444372415542603,0.0,60.0,21.01004047113037,0.0750899165868759,21.01004047113037,0.0750899165868759,,,0.6649929285049438,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29.0,83.71345928500557,-5.615450152260302,2.351282835006714,0.0,61.0,21.14933223443603,0.0833808928728103,21.14933223443603,0.0833808928728103,,,0.4659337103366852,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,152,83.713429,-5.615405,,,,,18.911,0.163,0.19543479085673407
30,30.0,83.7149431178524,-5.794101147489799,2.461038112640381,0.0,63.0,18.14811153131103,0.0068123522214591,18.14811153131103,0.0068123522214591,,,0.4128872156143188,0.0,,,,,,,,,,,,,,,,,43469.0,83.71499,-5.79405,14.971,0.035,14.717,0.052,12.903,0.079,,,,,,,,,star_or_galaxy,159,159,83.714919,-5.794116,20.466,0.157,17.773,0.038,16.361,0.033,0.10159016578926114
