,mu,sig
0,164.7010418788558,59.93853769026184
1,166.5556049146157,59.94345104942599
2,168.4536063917522,59.95819112691842
3,170.3965908276652,59.982757922739154
4,172.38617684145956,60.01715143688818
5,174.4240616518805,60.061371669365485
6,176.5120259069186,60.11541862017109
7,178.65193887394753,60.17929228930499
8,180.84576402219673,60.252992676767185
9,183.09556503261211,60.336519782557666
10,185.40351227374174,60.42987360667644
11,187.77188978639884,60.5330541491235
12,190.2031028243245,60.64606140989886
13,192.6996860031876,60.76889538900251
14,195.26431211598367,60.901556086434454
15,197.8998016792247,61.04404350219468
16,200.60913328166785,61.19635763628321
17,203.3954548153783,61.35849848870003
18,206.2620956781345,61.53046605944514
19,209.21258004668158,61.71226034851854
20,212.25064133200306,61.903881355920234
21,215.38023794137786,62.10532908165022
22,218.60557048707176,62.316603525708494
23,221.93110059900224,62.53770468809507
24,225.3615715185589,62.76863256880993
25,228.90203067343163,63.00938716785308
26,232.55785445945418,63.259968485224526
27,236.33477548531198,63.520376520924266
28,240.2389125704996,63.7906112749523
29,244.27680382670974,64.07067274730862
30,248.45544319881114,64.36056093799323
31,252.78232089507054,64.66027584700613
32,257.2654681982292,64.96981747434734
33,261.9135072214454,65.28918582001683
34,266.73570625765734,65.6183808840146
35,271.74204146990354,65.95740266634067
36,276.94326578669677,66.30625116699504
37,282.3509860036281,66.6649263859777
38,287.97774925468866,67.03342832328865
39,293.83714020921775,67.41175697892788
40,299.94389057926674,67.79991235289542
41,306.3140027957389,68.19789444519125
42,312.9648900391505,68.60570325581536
43,319.9155352050421,69.02333878476777
44,327.1866718599999,69.45080103204847
45,334.800990820917,69.88808999765746
46,342.7833766931197,70.33520568159474
47,351.1611795614143,70.79214808386033
48,359.96452808397515,71.25891720445419
49,369.22669154183967,71.73551304337636
50,378.9845000132563,72.22193560062681
51,389.27883385940936,72.71818487620556
52,400.1551962374319,73.22426087011259
53,411.6643855492351,73.74016358234792
54,423.86328878787197,74.26589301291153
55,436.8158219230264,74.80144916180345
56,450.5940501336354,75.34683202902366
57,465.2795293366767,75.90204161457216
58,480.964921750447,76.46707791844895
59,497.75595310075937,77.04194094065403
60,515.7737988374739,77.6266306811874
61,535.1580132315161,78.22114714004906
62,556.0701511250134,78.82549031723902
63,578.6982812679785,79.43966021275727
64,603.262658265441,80.0636568266038
65,630.0229156399319,80.69748015877863
66,659.2872782030287,81.34113020928177
67,691.42448755935,81.99460697811318
68,726.8794210806471,82.65791046527289
69,766.1938115514247,83.33104067076088
70,810.0341226872824,84.01399759457718
